"2024-03-04_12:16:37","0.0394","1.3200"
"2024-03-04_12:16:38","0.0319","1.4800"
"2024-03-04_12:16:39","0.0266","1.0100"
"2024-03-04_12:16:40","0.0209","0.9251"
"2024-03-04_12:16:41","0.0311","1.3400"
"2024-03-04_12:16:42","0.0298","1.1300"
"2024-03-04_12:16:43","0.0174","0.9700"
"2024-03-04_12:16:44","0.0314","1.2900"
"2024-03-04_12:16:45","0.0452","2.1300"
"2024-03-04_12:16:46","0.0402","1.2400"
"2024-03-04_12:16:47","0.0271","1.6700"
"2024-03-04_12:16:48","0.0471","2.6000"
"2024-03-04_12:16:49","0.0475","2.3700"
"2024-03-04_12:16:50","0.0311","1.0700"
"2024-03-04_12:16:51","0.0377","2.2600"
"2024-03-04_12:16:52","0.0457","2.4400"
"2024-03-04_12:16:53","0.0382","1.5400"
"2024-03-04_12:16:54","0.0419","3.1200"
"2024-03-04_12:16:55","0.0564","2.9100"
"2024-03-04_12:16:56","0.0388","1.8500"
"2024-03-04_12:16:57","0.0453","2.7500"
"2024-03-04_12:16:58","0.0394","2.5400"
"2024-03-04_12:17:00","0.0432","2.1400"
"2024-03-04_12:17:01","0.0348","2.2100"
"2024-03-04_12:17:02","0.0288","1.0300"
"2024-03-04_12:17:03","0.0235","1.4700"
"2024-03-04_12:17:04","0.0274","1.0175"
"2024-03-04_12:17:05","0.0322","1.7700"
"2024-03-04_12:17:06","0.0478","1.4100"
"2024-03-04_12:17:07","0.0266","1.4400"
"2024-03-04_12:17:08","0.0355","1.2600"
"2024-03-04_12:17:09","0.0296","1.6000"
"2024-03-04_12:17:10","0.0341","1.4900"
"2024-03-04_12:17:11","0.0281","0.7033"
"2024-03-04_12:17:12","0.0186","0.8424"
"2024-03-04_12:17:13","0.0187","0.5809"
"2024-03-04_12:17:14","0.0202","0.9257"
"2024-03-04_12:17:15","0.0248","0.5678"
"2024-03-04_12:17:16","0.0368","0.9956"
"2024-03-04_12:17:17","0.0309","0.5081"
"2024-03-04_12:17:18","0.0319","0.8039"
"2024-03-04_12:17:19","0.0181","0.4146"
"2024-03-04_12:17:20","0.0117","0.5433"
"2024-03-04_12:17:21","0.0248","0.9101"
"2024-03-04_12:17:23","0.0239","1.5300"
"2024-03-04_12:17:24","0.0307","1.1300"
"2024-03-04_12:17:25","0.0184","0.9965"
"2024-03-04_12:17:26","0.0402","2.0000"
"2024-03-04_12:17:27","0.0434","1.8700"
"2024-03-04_12:17:28","0.0287","1.2400"
"2024-03-04_12:17:29","0.0373","2.4800"
"2024-03-04_12:17:30","0.0382","1.7600"
"2024-03-04_12:17:31","0.0286","1.5700"
"2024-03-04_12:17:32","0.0384","1.6800"
"2024-03-04_12:17:33","0.0248","1.3200"
"2024-03-04_12:17:34","0.0340","1.5300"
"2024-03-04_12:17:35","0.0278","1.5000"
"2024-03-04_12:17:36","0.0436","1.5300"
"2024-03-04_12:17:37","0.0295","1.3600"
"2024-03-04_12:17:38","0.0345","1.6900"
"2024-03-04_12:17:39","0.0476","3.0600"
"2024-03-04_12:17:41","0.0345","1.9200"
"2024-03-04_12:17:43","0.0445","2.1300"
"2024-03-04_12:17:44","0.0212","1.2900"
"2024-03-04_12:17:45","0.0393","1.9900"
"2024-03-04_12:17:46","0.0386","2.3000"
"2024-03-04_12:17:47","0.0420","1.9900"
"2024-03-04_12:17:48","0.0414","2.0300"
"2024-03-04_12:17:49","0.0397","1.9300"
"2024-03-04_12:17:50","0.0343","2.0200"
"2024-03-04_12:17:51","0.0499","2.8100"
"2024-03-04_12:17:52","0.0437","3.5400"
"2024-03-04_12:17:53","0.0500","2.2000"
